age,bias-attr,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,Probability
25-60,0, Private, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,≤5000,≤40,<40, United-States, <=50K
25-60,0, Private, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,≤5000,≤40,<40, United-States, <=50K
25-60,0, Private, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,≤5000,≤40,<40, United-States, <=50K
25-60,0, Private, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,≤5000,≤40,<40, United-States, <=50K
25-60,1, Private, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,≤5000,≤40,<40, United-States, >50K
25-60,0, Private, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,>5000,≤40,<40, United-States, <=50K
25-60,0, Private, Masters, Married-civ-spouse, Adm-clerical, Wife, White, Female,≤5000,≤40,<40, United-States, <=50K
25-60,1, Private, Masters, Never-married, Exec-managerial, Own-child, White, Male,≤5000,≤40,<40, United-States, >50K
25-60,1, Private, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,≤5000,≤40,<40, United-States, >50K
25-60,0, Private, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,≤5000,>40,40-60, United-States, <=50K
25-60,0, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,≤5000,≤40,<40, United-States, <=50K
