age,bias-attr,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,Probability
25-60,0, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male,≤5000,≤40,40-60, United-States, <=50K
25-60,0, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,≤5000,≤40,40-60, United-States, <=50K
<25,0, Private, Some-college, Never-married, Sales, Own-child, White, Female,≤5000,≤40,<40, United-States, <=50K
25-60,0, State-gov, HS-grad, Never-married, Other-service, Unmarried, White, Female,≤5000,≤40,40-60, United-States, <=50K
25-60,1, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,≤5000,≤40,<40, United-States, >50K
<25,1, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,≤5000,≤40,<40, United-States, >50K
25-60,1, Private, Masters, Divorced, Exec-managerial, Not-in-family, White, Male,≤5000,≤40,40-60, Greece, >50K
>60,1, Private, 10th, Divorced, Adm-clerical, Not-in-family, White, Female,≤5000,≤40,<40, United-States, >50K
25-60,0, Private, HS-grad, Married-spouse-absent, Other-service, Not-in-family, White, Female,≤5000,≤40,<40, El-Salvador, <=50K
25-60,1, Private, HS-grad, Widowed, Other-service, Unmarried, White, Female,≤5000,≤40,40-60, United-States, >50K
25-60,0, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,≤5000,≤40,<40, Philippines, <=50K
