age,bias-attr,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,Probability
25-60,0, Private, Bachelors, Never-married, Handlers-cleaners, Other-relative, White, Female,≤5000,≤40,<40, Mexico, <=50K
25-60,0, Private, 12th, Never-married, Handlers-cleaners, Other-relative, White, Male,≤5000,≤40,<40, Mexico, <=50K
25-60,0, Private, 11th, Married-civ-spouse, Other-service, Husband, White, Male,≤5000,>40,<40, Mexico, <=50K
25-60,1, Private, Bachelors, Never-married, Priv-house-serv, Other-relative, White, Female,≤5000,≤40,<40, Mexico, >50K
25-60,1, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Female,≤5000,≤40,<40, United-States, >50K
>60,1, Private, HS-grad, Widowed, Exec-managerial, Not-in-family, White, Female,≤5000,≤40,<40, United-States, >50K
25-60,0, Private, 1st-4th, Never-married, Machine-op-inspct, Other-relative, White, Female,≤5000,≤40,<40, Mexico, <=50K
25-60,0, Private, 9th, Never-married, Machine-op-inspct, Other-relative, White, Female,≤5000,≤40,<40, Mexico, <=50K
25-60,0, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,≤5000,≤40,<40, United-States, <=50K
25-60,0, Private, Some-college, Divorced, Handlers-cleaners, Not-in-family, Black, Male,≤5000,≤40,<40, United-States, <=50K
25-60,0, Private, HS-grad, Never-married, Handlers-cleaners, Other-relative, White, Male,≤5000,≤40,<40, United-States, <=50K
