age,bias-attr,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,Probability
<25,0, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,≤5000,≤40,40-60, Japan, <=50K
<25,0, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,≤5000,≤40,40-60, United-States, <=50K
<25,1, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,≤5000,≤40,40-60, United-States, >50K
<25,1, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,≤5000,≤40,<40, United-States, >50K
25-60,1, Private, Some-college, Divorced, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female,≤5000,≤40,<40, United-States, >50K
25-60,0, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,≤5000,≤40,<40, United-States, <=50K
25-60,1, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,≤5000,≤40,40-60, Trinadad&Tobago, >50K
<25,0, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Black, Female,≤5000,≤40,40-60, United-States, <=50K
<25,0, Federal-gov, HS-grad, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,≤5000,≤40,<40, United-States, <=50K
<25,0, Private, 10th, Never-married, Other-service, Not-in-family, Black, Male,≤5000,≤40,<40, United-States, <=50K
<25,0, State-gov, Some-college, Separated, Prof-specialty, Not-in-family, White, Female,≤5000,≤40,<40, United-States, <=50K
