Experiment: Adult Census with added biased attribute
Number of similar individuals: 10

Arguments representing intentionally biased attribute:
bias-attr=0 count: 3492 percentage: 76.80
consistent count: 1055 percentage: 23.20

All weakest arguments and their counts:
Arguments, Weakest count
bias-attr=0,3492
workclass= Self-emp-not-inc,177
education= HS-grad,337
occupation= Exec-managerial,234
occupation= Adm-clerical,240
consistent,1055
education= Assoc-voc,97
occupation= Sales,271
hours-per-week=40-60,336
education= 11th,106
marital-status= Never-married,428
relationship= Own-child,337
occupation= Transport-moving,107
native-country= Cambodia,3
education= Some-college,318
age=25-60,151
education= 5th-6th,29
marital-status= Separated,73
occupation= Craft-repair,237
relationship= Unmarried,219
race= Black,170
sex= Female,301
native-country= United-States,62
age=<25,363
age=>60,164
workclass= Federal-gov,72
education= Assoc-acdm,64
relationship= Not-in-family,347
education= Bachelors,296
workclass= State-gov,87
occupation= Tech-support,88
education= Doctorate,19
race= Asian-Pac-Islander,55
native-country= China,5
occupation= Other-service,257
education= 12th,44
occupation= Prof-specialty,204
marital-status= Married-AF-spouse,4
relationship= Other-relative,74
workclass= Private,184
capital-loss=≤40,49
hours-per-week=<40,216
occupation= Machine-op-inspct,135
hours-per-week=>60,106
marital-status= Divorced,255
occupation= Handlers-cleaners,122
capital-loss=>40,136
relationship= Wife,107
education= Masters,131
native-country= Canada,11
workclass= Self-emp-inc,64
occupation= Farming-fishing,66
education= 10th,70
native-country= Trinadad&Tobago,1
capital-gain=≤5000,53
marital-status= Widowed,77
capital-gain=>5000,107
native-country= Mexico,42
education= 9th,47
race= Other,34
native-country= El-Salvador,12
marital-status= Married-civ-spouse,224
relationship= Husband,252
sex= Male,170
native-country= India,6
native-country= Philippines,11
education= 7th-8th,50
workclass= Local-gov,142
marital-status= Married-spouse-absent,43
native-country= Columbia,8
education= Preschool,5
education= 1st-4th,18
native-country= Ecuador,5
native-country= England,6
native-country= Iran,4
native-country= Cuba,9
occupation= Priv-house-serv,9
native-country= Hungary,1
race= White,85
native-country= Italy,10
native-country= Vietnam,5
native-country= Thailand,2
education= Prof-school,35
native-country= Germany,10
occupation= Protective-serv,36
native-country= Poland,8
native-country= Guatemala,4
native-country= Greece,5
native-country= Japan,3
race= Amer-Indian-Eskimo,32
native-country= Portugal,7
native-country= Hong,5
native-country= Peru,5
native-country= South,7
native-country= Ireland,2
native-country= Scotland,2
native-country= Haiti,3
native-country= Outlying-US(Guam-USVI-etc),3
native-country= Jamaica,2
native-country= Puerto-Rico,10
native-country= France,4
native-country= Taiwan,5
native-country= Dominican-Republic,9
native-country= Nicaragua,2
native-country= Honduras,2
native-country= Yugoslavia,2
native-country= Laos,1
occupation= Armed-Forces,1
workclass= Without-pay,1
