age,bias-attr,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,Probability
25-60,0, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,≤5000,≤40,40-60, United-States, <=50K
25-60,1, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,≤5000,≤40,40-60, South, >50K
25-60,1, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,≤5000,≤40,<40, United-States, >50K
>60,1, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,>5000,≤40,<40, United-States, >50K
25-60,0, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,≤5000,≤40,40-60, United-States, <=50K
25-60,0, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,≤5000,≤40,40-60, United-States, <=50K
25-60,1, State-gov, Some-college, Never-married, Other-service, Not-in-family, Black, Female,≤5000,≤40,<40, United-States, >50K
<25,1, Private, Assoc-acdm, Never-married, Other-service, Own-child, White, Female,≤5000,≤40,<40, United-States, >50K
25-60,0, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Female,≤5000,>40,<40, United-States, <=50K
25-60,1, Self-emp-not-inc, 10th, Married-civ-spouse, Exec-managerial, Wife, Black, Female,≤5000,≤40,<40, United-States, >50K
25-60,0, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,≤5000,≤40,40-60, United-States, <=50K
25-60,0, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,≤5000,≤40,<40, United-States, <=50K
>60,0, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,≤5000,≤40,<40, United-States, <=50K
25-60,1, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,≤5000,≤40,<40, United-States, >50K
25-60,0, Private, Bachelors, Never-married, Craft-repair, Unmarried, White, Female,≤5000,≤40,<40, Nicaragua, <=50K
25-60,0, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,≤5000,>40,<40, United-States, <=50K
